20231214	11:12:23	3cc18e91-c811-4cd0-9c3f-a9686d33dace	GET	 undefined 	/employees
20231214	11:13:59	02ab5ec8-c0a5-48fe-82f7-9fbf67c31da2	POST	 undefined 	/auth
20231214	11:14:05	b9fa0aac-d0f3-4f51-a546-f6b82126920e	GET	 undefined 	/employees
20231214	11:14:12	8d95ab97-34c9-49db-8dfc-9c3df8ec26b2	GET	 undefined 	/employees
20231214	11:36:29	76d8bb5e-ec15-4d09-b066-487b0f5bb602	POST	 undefined 	/auth
20231214	11:37:50	50307b6c-757d-4fdf-858e-8504e1e97e0f	GET	 undefined 	/refresh
20231214	11:37:57	2b43ba4f-a241-4005-995e-0df8b577bbee	POST	 undefined 	/auth
20231214	11:37:59	30c6f630-4d09-4cdb-a5ac-f6cd40309bd5	GET	 undefined 	/refresh
20231214	11:38:01	a3401e74-a372-41db-a0cf-38917e8d89f0	GET	 undefined 	/refresh
20231214	11:38:02	847d3e52-6f9a-4dcc-bcdb-41e22623e766	GET	 undefined 	/refresh
20231214	11:38:02	f66e514a-e329-4f56-82a6-b86cc9807b39	GET	 undefined 	/refresh
20231214	11:39:36	28887958-4b15-4b62-be38-669bd097d1e5	POST	 undefined 	/auth
20231214	11:39:38	9ef2b185-1771-4ce8-abc3-5726c2146ce6	GET	 undefined 	/refresh
20231214	11:39:41	d5e7da2d-5d45-4568-bd91-1157bc7c416c	GET	 undefined 	/refresh
20231214	11:39:42	de036dc5-2773-4dc0-950a-e133ac551540	GET	 undefined 	/refresh
20231214	11:39:43	d294d08f-2cbc-424b-a1cc-df62cef214a9	GET	 undefined 	/refresh
20231214	11:39:43	bc9c75dc-c71d-49ad-b29b-e1734d504456	GET	 undefined 	/refresh
20231214	11:39:44	f952c8c8-d461-4276-919d-801a82aa99ad	GET	 undefined 	/refresh
20231214	11:40:04	901bf7ad-9dfd-4b55-859c-d971019e0991	GET	 undefined 	/refresh
20231214	11:40:04	7dd681df-f4ff-4eab-a1fa-84f4a132f325	GET	 undefined 	/refresh
20231214	11:40:05	a65a7d93-36cb-4c5b-9d79-2947347ddc88	GET	 undefined 	/refresh
20231214	11:40:06	2e7a0fe4-805e-4eca-947f-2b5914329292	GET	 undefined 	/refresh
20231214	11:40:06	98d090c3-c555-463b-a1e6-0c57406fef2c	GET	 undefined 	/refresh
20231214	11:40:07	b23d4597-ece3-4d8d-9cd3-3d77d23fe8a3	GET	 undefined 	/refresh
20231214	11:40:07	6aac26d2-a75c-4952-b31b-bb78c96b4fb6	GET	 undefined 	/refresh
20231214	11:40:08	ea5bd4bd-bdc9-44b5-8eda-b9645cb6d8fe	GET	 undefined 	/refresh
20231214	11:40:08	b88df123-01d4-40f2-94b2-e080b4dd6132	GET	 undefined 	/refresh
20231214	11:40:08	800639a7-866a-4c94-ae0d-73a421cde39f	GET	 undefined 	/refresh
20231214	11:40:08	be6de319-600f-4080-b8dc-e793a2c9e270	GET	 undefined 	/refresh
20231214	11:40:08	174ceaab-a7ab-4ae0-9388-36ed24fc8525	GET	 undefined 	/refresh
20231214	11:40:09	79f21b5b-36b0-4def-87eb-b3e7002a79fe	GET	 undefined 	/refresh
20231214	11:40:09	f178f23f-929f-4a8b-becc-4b3c9f25aa2d	GET	 undefined 	/refresh
20231214	11:44:17	d8356a62-3d68-4dee-a16a-862af780b3b1	GET	 undefined 	/refresh
20231214	11:57:07	69ea52e9-3d22-4831-b828-f526341df23b	POST	 undefined 	/auth
20231214	11:57:39	fa40c936-37fd-4c7b-b38c-feb54481ea2b	GET	 undefined 	/logout
20231214	11:58:20	f8ea23f5-6f30-48ff-8362-20ba90460835	GET	 undefined 	/logout
20231214	11:58:21	1d219256-4b0f-453b-b5ba-5870bc3e2831	GET	 undefined 	/logout
20231214	11:58:22	bc13f5aa-91ba-4b12-9891-8cd5c83d0b8b	GET	 undefined 	/logout
20231214	11:58:46	af9d69a0-2c17-4b87-bb64-d771802e0dcc	GET	 undefined 	/logout
20231214	11:58:47	11559eca-b72a-4d7d-a71c-129f6701f4a7	GET	 undefined 	/logout
20231214	11:58:56	9f7f2eab-31ef-4785-aaa0-cc1680cc9640	POST	 undefined 	/auth
20231214	11:59:01	4f93cffd-1293-48f9-b7ee-22dc874407d4	GET	 undefined 	/logout
20231214	11:59:27	52eac0e1-788e-4d69-9a19-43c472b750ca	POST	 undefined 	/auth
20231214	11:59:30	1a79f805-fcdc-4a97-af40-17316c575244	GET	 undefined 	/logout
20231214	11:59:31	7af4ff0a-a8ec-49aa-991c-da9cf37bddd6	GET	 undefined 	/logout
20231214	12:02:28	d424f3e8-5394-4715-82ed-705f8c3b4921	GET	 undefined 	/logout
20231214	12:02:32	00f56638-7ef1-4680-a1c0-fda249905714	POST	 undefined 	/auth
20231214	12:02:34	31bb02c1-8195-48aa-9992-e39551f51a76	GET	 undefined 	/logout
20231214	12:02:35	30afe32e-6afd-4518-bffd-c4ef76cb5acd	GET	 undefined 	/logout
20231214	12:04:11	82102a37-9208-42d9-ab41-6f0648df3f4e	GET	 undefined 	/logout
20231214	12:04:15	c6c14b1c-9d68-47df-b1f0-b018d91b0d1e	GET	 undefined 	/logout
20231214	12:11:32	026f5727-5535-402a-94d7-5df455502072	GET	 undefined 	/logout
20231214	12:11:59	4e47eca7-e4ad-4440-a674-9cf868e48f54	GET	 undefined 	/refresh
20231214	12:13:41	277b6c0d-cc59-4fe0-9f5b-990f27261b15	POST	 undefined 	/auth
20231214	13:53:08	e52b32a0-5145-4c69-8b89-6a4152686845	GET	 undefined 	/css/style.css
20231214	13:53:08	51f6f300-669e-4ef4-991e-9dc191cfe901	GET	 undefined 	/img/img1.jpg
